AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous,SuggestedTreatment
Dog,Fever,Diarrhea,Vomiting,Weight loss,Dehydration,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Dog,Fever,Diarrhea,Coughing,Tiredness,Pains,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Dog,Fever,Diarrhea,Coughing,Vomiting,Anorexia,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Dog,Fever,Difficulty breathing,Coughing,Lethargy,Sneezing,Yes,"Respiratory support, humidifier, and possibly bronchodilators or antibiotics (consult vet)"
Dog,Fever,Diarrhea,Coughing,Lethargy,Blue Eye,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Dog,Fever,Respiratory distress,Seizuers,Hyperesthesia,Sudden death,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Ulcers,Diarrhea,Poor Appetite,Tarry Stool,Enlarged lymph nodes,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Facial Swelling,Bloody Drool,Foul Breath,Unable To Eat,Lossened Teeth,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Fever,Difficulty breathing,Thrist and urination,Weight loss,Enlarged lymph nodes or Swelling,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Swelling on leg,Painfull,Nasal Discharge,Broken Bones,Nasal Discharge,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Short term lethargy,Loss of  appetite,Weekness in the back legs,Rapid Heart Rate,Week pulse,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Swollen lymph nodes,Difficulty walking,Back Pain,Lethargy,Vaginal Discharge,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Fever,Diarrhea,Abdominal pain,Stiffness,Severe weekness and depression,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Dog,Fever,Loss of  appetite,Reduce Energy,Lameness,Swelling of joints,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Fever,Chronic eye inflamation,Poor Appetite,Lethargy,Neurologic abnormalities,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Fever,Swelling of face or leg,Poor Appetite,Depression,Pains,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Diarrhea with muscus,Tensemus,Watery Stool,Flatulence,Pains,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Strong cough,Runny nose,Sneezing,Lethargy,Loss of appettite,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Fever,Inflammed eye,Coughing,Depression,Limping,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Fever,Difficulty breathing,Coughing,Eye and Skin change,Unable to exercise,Yes,"Respiratory support, humidifier, and possibly bronchodilators or antibiotics (consult vet)"
Dog,Fever,Loss of  appetite,Coughing,Lethargy,Joint Pain,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Lesions in the nasal cavity,Lesions on nose,Nose Bleeds,Noisy Breathing,Lesions on nose,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Hair loss,Dandruff,Darkened skin,Crusting of the skin,Ulcerated skin,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Greenish-yellow nasal discharge,Lack of pigmentation,Sneezing,Lethargy,Pain on face,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Fever,Diarrhea,Poor Appetite,Weight loss,Vomitting,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Dog,Jaundice,Pneumonia ,Lession on the skin,pain ,Vomitting,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Poor coat apperence ,Diarrhea,Vomiting,Weight loss,Dehydration,Yes,"Anti-nausea medications, dietary management, and hydration support"
Dog,Watering,No appp,Vomiting,Lethargy,Dehydration,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Straining,Diarrhea,Vomiting,Weight loss,Blindness,Yes,"Anti-nausea medications, dietary management, and hydration support"
Dog,Upset stomach,Diarrhea,Vomiting,Muscle pain,Muscle stiffness,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Upset stomach,Diarrhea,Coughing,Weight loss,Anaemia,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Allergic Reaction,Poor appetite,Coughing,Weight loss,Distended chest,Yes,Consult a veterinarian for diagnosis and treatment
